"C","Historical Regulation Offer Data Report"
"C","Filename: hbregulationoffer_20211012.csv"
"C","Report for: 10/12/2021"
"C","Report generated: 11/27/2022 18:24:56 EST"
"H","Day","Hour Ending","Masked Lead Participant ID","Masked Asset ID","Regulation Low Limit","Regulation High Limit","Regulation Status","Automatic Response Rate","Regulation Offer Price","Regulation Service Offer Price","Regulation Capacity Offer Price","Regulation Inter-Temporal Opportunity Cost"
"H","Date","String","Number","Number","MW","MW","String","MW/Minute","$/MW","$/MW","$/MW","$/MW"
"D","10/12/2021","01",126216,16568,170,300,"AVAILABLE",3,,0,10,0
"D","10/12/2021","01",126216,65939,200,525,"AVAILABLE",3,,0,10,0
"D","10/12/2021","01",126216,86401,180,333,"AVAILABLE",3,,0,10,0
"D","10/12/2021","01",148550,74023,-5,5,"UNAVAILABLE",375,,0,0,0
"D","10/12/2021","01",191345,95889,-1.5,1.4,"AVAILABLE",109,,0,0,0
"D","10/12/2021","01",196063,23404,47,57,"AVAILABLE",1,,10,6.5,0
"D","10/12/2021","01",206845,29055,285,585,"AVAILABLE",3,,0,30,0
"D","10/12/2021","01",206845,31335,50,100,"AVAILABLE",1,,0,20,0
"D","10/12/2021","01",206845,67677,-16.1,15.6,"AVAILABLE",250,,0,0,0
"D","10/12/2021","01",212494,31662,266,355,"AVAILABLE",5.6,,0.05,6.72,0.05
"D","10/12/2021","01",212494,44171,172,273,"AVAILABLE",4.8,,0.06,6.82,0.06
"D","10/12/2021","01",212494,52323,210,355,"AVAILABLE",7.1,,0.07,6.7,0.07
"D","10/12/2021","01",212494,55388,170,252,"AVAILABLE",4.8,,0.07,6.77,0.07
"D","10/12/2021","01",212494,78679,266,363,"AVAILABLE",5.6,,0.06,6.75,0.06
"D","10/12/2021","01",212494,80076,197,323,"AVAILABLE",5.2,,0.08,6.8,0.08
"D","10/12/2021","01",292445,12097,44,48.5,"UNAVAILABLE",25,,0,0,100
"D","10/12/2021","01",292445,35696,36,45,"AVAILABLE",25,,0,0,100
"D","10/12/2021","01",292445,37352,36,45,"AVAILABLE",25,,0,0,100
"D","10/12/2021","01",292445,51737,0.5,45,"AVAILABLE",25,,0,0,100
"D","10/12/2021","01",292445,52317,36,45,"AVAILABLE",25,,0,0,100
"D","10/12/2021","01",292445,52400,20,22,"UNAVAILABLE",25,,0,0,100
"D","10/12/2021","01",292445,56935,44,48.5,"UNAVAILABLE",25,,0,0,100
"D","10/12/2021","01",292445,93720,8,38,"AVAILABLE",25,,0,0,100
"D","10/12/2021","01",292445,96291,44,48,"UNAVAILABLE",25,,0,0,100
"D","10/12/2021","01",295534,64231,355,536,"AVAILABLE",12,,0.19,3.99,0
"D","10/12/2021","01",328723,41406,311,499,"AVAILABLE",20,,0.19,4.99,0
"D","10/12/2021","01",328723,45714,145,245,"AVAILABLE",7,,0.19,3.99,0
"D","10/12/2021","01",328723,56535,168,274,"AVAILABLE",11,,0.19,4.99,0
"D","10/12/2021","01",331313,94830,70,80,"AVAILABLE",2,,0,5,0
"D","10/12/2021","01",383731,26606,-5,5,"UNAVAILABLE",375,,0,0,0
"D","10/12/2021","01",412080,44623,55,70,"AVAILABLE",5,,0.1,10,0
"D","10/12/2021","01",412080,59383,55,70,"AVAILABLE",5,,0.1,10,0
"D","10/12/2021","01",412080,68657,87,98,"UNAVAILABLE",5,,0.1,10,0
"D","10/12/2021","01",412080,75042,82,97,"AVAILABLE",5,,0.15,15,0
"D","10/12/2021","01",412080,82179,82,97,"AVAILABLE",5,,0.3,10,0
"D","10/12/2021","01",441991,11031,35,45,"UNAVAILABLE",10,,0,0,0
"D","10/12/2021","01",441991,19426,35,45,"UNAVAILABLE",10,,0,0,0
"D","10/12/2021","01",441991,84614,35,45,"UNAVAILABLE",10,,0,0,0
"D","10/12/2021","01",441991,84917,35,45,"UNAVAILABLE",10,,0,0,0
"D","10/12/2021","01",441991,86772,35,45,"UNAVAILABLE",10,,0,0,0
"D","10/12/2021","01",474440,80370,-5,5,"AVAILABLE",300,,0,0,0
"D","10/12/2021","01",474440,85953,-1,1,"UNAVAILABLE",10,,0,0,0
"D","10/12/2021","01",504170,11009,540,711,"AVAILABLE",15,,1,5,0
"D","10/12/2021","01",504170,60658,150,550,"UNAVAILABLE",4,,10,97.69,0
"D","10/12/2021","01",504170,72020,540,711,"AVAILABLE",15,,1,5,0
"D","10/12/2021","01",529039,63326,-4.9,4.9,"UNAVAILABLE",10,,0,0,0
"D","10/12/2021","01",529988,29235,150,380,"UNAVAILABLE",2.5,,0,99,0
"D","10/12/2021","01",529988,54481,120,200,"UNAVAILABLE",1.5,,0,99,0
"D","10/12/2021","01",529988,54965,50,90,"UNAVAILABLE",1,,0,99,0
