"C","Historical Regulation Offer Data Report"
"C","Filename: hbregulationoffer_20211123.csv"
"C","Report for: 11/23/2021"
"C","Report generated: 11/27/2022 18:27:25 EST"
"H","Day","Hour Ending","Masked Lead Participant ID","Masked Asset ID","Regulation Low Limit","Regulation High Limit","Regulation Status","Automatic Response Rate","Regulation Offer Price","Regulation Service Offer Price","Regulation Capacity Offer Price","Regulation Inter-Temporal Opportunity Cost"
"H","Date","String","Number","Number","MW","MW","String","MW/Minute","$/MW","$/MW","$/MW","$/MW"
"D","11/23/2021","01",126216,16568,170,300,"AVAILABLE",3,,0,10,0
"D","11/23/2021","01",126216,65939,200,525,"AVAILABLE",3,,0,10,0
"D","11/23/2021","01",126216,86401,180,333,"AVAILABLE",3,,0,10,0
"D","11/23/2021","01",148550,74023,-5,4.7,"AVAILABLE",728,,0,0,0
"D","11/23/2021","01",191345,95889,-1.5,1.4,"AVAILABLE",109,,0,0,0
"D","11/23/2021","01",196063,23404,47,57,"AVAILABLE",1,,10,6.5,0
"D","11/23/2021","01",206845,29055,285,585,"AVAILABLE",3,,0,30,0
"D","11/23/2021","01",206845,31335,50,100,"AVAILABLE",1,,0,20,0
"D","11/23/2021","01",206845,67677,-13.3,12.9,"AVAILABLE",250,,0,0,0
"D","11/23/2021","01",212494,31662,273,384,"AVAILABLE",5.6,,0.05,6.72,0.05
"D","11/23/2021","01",212494,44171,170,258,"AVAILABLE",4,,0.06,6.82,0.06
"D","11/23/2021","01",212494,52323,220,377,"AVAILABLE",7.1,,0.07,6.7,0.07
"D","11/23/2021","01",212494,55388,172,279,"AVAILABLE",4,,0.07,6.77,0.07
"D","11/23/2021","01",212494,78679,273,375,"AVAILABLE",5.6,,0.66,6.75,0.66
"D","11/23/2021","01",212494,80076,209,350,"AVAILABLE",4.9,,0.08,6.8,0.08
"D","11/23/2021","01",292445,12097,44,48.5,"UNAVAILABLE",25,,0,0,100
"D","11/23/2021","01",292445,35696,0.5,48,"AVAILABLE",25,,0,0,100
"D","11/23/2021","01",292445,37352,40,48,"AVAILABLE",25,,0,0,100
"D","11/23/2021","01",292445,51737,40,48,"AVAILABLE",25,,0,0,100
"D","11/23/2021","01",292445,52317,40,48,"AVAILABLE",25,,0,0,100
"D","11/23/2021","01",292445,52400,20,22,"UNAVAILABLE",25,,0,0,100
"D","11/23/2021","01",292445,56935,44,48.5,"UNAVAILABLE",25,,0,0,100
"D","11/23/2021","01",292445,93720,8,38,"AVAILABLE",25,,0,0,100
"D","11/23/2021","01",292445,96291,44,48,"UNAVAILABLE",25,,0,0,100
"D","11/23/2021","01",295534,64231,360,558,"AVAILABLE",12,,0.19,3.99,0
"D","11/23/2021","01",328723,41406,311,485,"AVAILABLE",20,,0.19,4.99,0
"D","11/23/2021","01",328723,45714,145,256,"AVAILABLE",7,,0.19,3.99,0
"D","11/23/2021","01",328723,56535,168,283,"AVAILABLE",11,,0.19,4.99,0
"D","11/23/2021","01",331313,94830,70,80,"AVAILABLE",2,,0,5,0
"D","11/23/2021","01",383731,26606,-5,4.7,"AVAILABLE",728,,0,0,0
"D","11/23/2021","01",412080,44623,55,70,"AVAILABLE",5,,0.1,10,0
"D","11/23/2021","01",412080,59383,55,70,"AVAILABLE",5,,0.1,10,0
"D","11/23/2021","01",412080,68657,87,98,"UNAVAILABLE",5,,0.1,10,0
"D","11/23/2021","01",412080,75042,82,97,"AVAILABLE",5,,0.15,15,0
"D","11/23/2021","01",412080,82179,82,97,"AVAILABLE",5,,0.3,10,0
"D","11/23/2021","01",441991,11031,35,45,"UNAVAILABLE",10,,0,0,0
"D","11/23/2021","01",441991,19426,35,45,"UNAVAILABLE",10,,0,0,0
"D","11/23/2021","01",441991,84614,35,45,"UNAVAILABLE",10,,0,0,0
"D","11/23/2021","01",441991,84917,35,45,"UNAVAILABLE",10,,0,0,0
"D","11/23/2021","01",441991,86772,35,45,"UNAVAILABLE",10,,0,0,0
"D","11/23/2021","01",474440,80370,-5,5,"AVAILABLE",300,,0,0,0
"D","11/23/2021","01",474440,85953,-1,1,"UNAVAILABLE",10,,0,0,0
"D","11/23/2021","01",504170,11009,270,370,"AVAILABLE",15,,1,5,0
"D","11/23/2021","01",504170,60658,150,550,"UNAVAILABLE",4,,10,97.69,0
"D","11/23/2021","01",504170,72020,540,757,"AVAILABLE",15,,1,5,0
"D","11/23/2021","01",529039,63326,-4.9,4.9,"UNAVAILABLE",10,,0,0,0
"D","11/23/2021","01",529988,29235,150,380,"UNAVAILABLE",2.5,,0,99,0
"D","11/23/2021","01",529988,54481,120,200,"UNAVAILABLE",1.5,,0,99,0
"D","11/23/2021","01",529988,54965,50,90,"UNAVAILABLE",1,,0,99,0
"D","11/23/2021","01",529988,96924,45,75,"UNAVAILABLE",1.5,,0,99,0
"D","11/23/2021","01",530232,62643,-18.8,18.8,"AVAILABLE",450,,0,0,0
"D","11/23/2021","01",547596,55289,45,65,"UNAVAILABLE",3.5,,10,90,10
"D","11/23/2021","01",582462,53298,130,292,"AVAILABLE",30,,0.1,5,5
"D","11/23/2021","01",582462,60188,150,292,"AVAILABLE",30,,10,49.95,49.95
"D","11/23/2021","01",582462,66602,130,292,"AVAILABLE",30,,10,49.95,49.95
"D","11/23/2021","01",582462,83099,130,292,"AVAILABLE",30,,10,49.95,49.95
"D","11/23/2021","01",591975,12297,145,258,"AVAILABLE",8,,0.05,6.25,0.05
"D","11/23/2021","01",591975,20846,204,269,"AVAILABLE",4,,0.01,9,0.01
"D","11/23/2021","01",591975,24780,145,257,"AVAILABLE",8,,0.05,6.75,0.05
"D","11/23/2021","01",591975,29587,150,232,"AVAILABLE",8,,0.25,0.01,0.25
"D","11/23/2021","01",591975,36992,145,253,"AVAILABLE",10,,0.01,6.25,0.01
"D","11/23/2021","01",591975,55408,145,253,"AVAILABLE",10,,0.01,6,0.01
"D","11/23/2021","01",591975,56483,214,264,"AVAILABLE",5,,0.05,6,0.05
"D","11/23/2021","01",591975,64475,204,254,"AVAILABLE",8,,0.05,6,0.05
"D","11/23/2021","01",591975,67172,150,234,"AVAILABLE",8,,0.05,8,0.25
"D","11/23/2021","01",591975,79527,150,244,"AVAILABLE",8,,0.01,5.75,0.25
"D","11/23/2021","01",591975,88727,145,251,"AVAILABLE",8,,0.05,6.5,0.05
"D","11/23/2021","01",591975,93164,150,251,"AVAILABLE",8,,0.01,6.25,0.25
"D","11/23/2021","01",595644,34578,406,586,"AVAILABLE",10,,0,13.93,0
"D","11/23/2021","01",698953,16639,7,33,"UNAVAILABLE",15,,0,0,0
"D","11/23/2021","01",698953,17045,14,25,"UNAVAILABLE",11,,0,0,0
"D","11/23/2021","01",698953,37939,5,26,"UNAVAILABLE",14.7,,0,0,0
"D","11/23/2021","01",698953,52447,5,29,"UNAVAILABLE",11,,0,0,0
"D","11/23/2021","01",698953,59695,5,16,"UNAVAILABLE",7.5,,0,0,0
"D","11/23/2021","01",698953,66465,5,32,"UNAVAILABLE",15,,0,0,0
"D","11/23/2021","01",711583,10002,-1,1,"UNAVAILABLE",2,,0,0,0
"D","11/23/2021","01",711583,10004,-1,1,"AVAILABLE",20,,0,0,0
"D","11/23/2021","01",711583,56432,-2,2,"UNAVAILABLE",2,,0,0,0
"D","11/23/2021","01",711583,80060,-1,1,"UNAVAILABLE",10,,0,0,0
"D","11/23/2021","01",711583,80285,-2,2,"UNAVAILABLE",2,,0,0,0
"D","11/23/2021","01",711583,86326,-2,2,"UNAVAILABLE",2,,0,0,0
"D","11/23/2021","01",732232,67022,-1.9,1.9,"AVAILABLE",100,,0,0,0
"D","11/23/2021","01",739738,19882,300,492.8,"AVAILABLE",8,,0,1,0
