"C","Historical Regulation Offer Data Report"
"C","Filename: hbregulationoffer_20210625.csv"
"C","Report for: 06/25/2021"
"C","Report generated: 11/27/2022 14:48:59 EST"
"H","Day","Hour Ending","Masked Lead Participant ID","Masked Asset ID","Regulation Low Limit","Regulation High Limit","Regulation Status","Automatic Response Rate","Regulation Offer Price","Regulation Service Offer Price","Regulation Capacity Offer Price","Regulation Inter-Temporal Opportunity Cost"
"H","Date","String","Number","Number","MW","MW","String","MW/Minute","$/MW","$/MW","$/MW","$/MW"
"D","06/25/2021","01",126216,16568,170,300,"AVAILABLE",3,,0,10,0
"D","06/25/2021","01",126216,65939,200,525,"AVAILABLE",3,,0,10,0
"D","06/25/2021","01",126216,86401,180,333,"AVAILABLE",3,,0,10,0
"D","06/25/2021","01",148550,74023,-5,5,"UNAVAILABLE",999,,0,0,0
"D","06/25/2021","01",191345,95889,-1.5,1.5,"UNAVAILABLE",999,,0,0,0
"D","06/25/2021","01",196063,23404,47,57,"AVAILABLE",1,,10,6.5,0
"D","06/25/2021","01",206845,29055,285,585,"AVAILABLE",3,,0,30,0
"D","06/25/2021","01",206845,31335,50,100,"AVAILABLE",1,,0,20,0
"D","06/25/2021","01",206845,67677,-16.7,16.2,"AVAILABLE",250,,0,0,0
"D","06/25/2021","01",212494,31662,273,362,"AVAILABLE",5.6,,0.99,8.99,0.99
"D","06/25/2021","01",212494,44171,172,256,"AVAILABLE",4,,0.06,6.82,0.06
"D","06/25/2021","01",212494,52323,208,343,"AVAILABLE",7.1,,0.79,8.99,0.79
"D","06/25/2021","01",212494,55388,173,272,"UNAVAILABLE",4,,0.07,6.77,0.07
"D","06/25/2021","01",212494,78679,273,362,"AVAILABLE",5.6,,0.89,8.99,0.89
"D","06/25/2021","01",212494,80076,208,343,"AVAILABLE",5.2,,0.69,8.99,0.69
"D","06/25/2021","01",292445,12097,44,48.5,"UNAVAILABLE",25,,0,0,100
"D","06/25/2021","01",292445,35696,38,46,"AVAILABLE",25,,0,0,100
"D","06/25/2021","01",292445,37352,38,46,"AVAILABLE",25,,0,0,100
"D","06/25/2021","01",292445,51737,0.5,46,"AVAILABLE",25,,0,0,100
"D","06/25/2021","01",292445,52317,38,46,"AVAILABLE",25,,0,0,100
"D","06/25/2021","01",292445,52400,20,22,"UNAVAILABLE",25,,0,0,100
"D","06/25/2021","01",292445,56935,44,48.5,"UNAVAILABLE",25,,0,0,100
"D","06/25/2021","01",292445,93720,8,38,"AVAILABLE",25,,0,0,100
"D","06/25/2021","01",292445,96291,44,48,"UNAVAILABLE",25,,0,0,100
"D","06/25/2021","01",295534,64231,355,534,"AVAILABLE",12,,0.19,3.99,0
"D","06/25/2021","01",328723,41406,311,508,"AVAILABLE",20,,0.19,4.99,0
"D","06/25/2021","01",328723,45714,145,243.5,"AVAILABLE",7,,0.19,3.99,0
"D","06/25/2021","01",328723,56535,168,270,"AVAILABLE",11,,0.19,4.99,0
"D","06/25/2021","01",331313,94830,70,80,"AVAILABLE",2,,0,5,0
"D","06/25/2021","01",383731,26606,-5,5,"UNAVAILABLE",999,,0,0,0
"D","06/25/2021","01",412080,44623,55,70,"AVAILABLE",5,,0.1,10,0
"D","06/25/2021","01",412080,59383,55,70,"AVAILABLE",5,,0.1,10,0
"D","06/25/2021","01",412080,68657,87,98,"UNAVAILABLE",5,,0.1,10,0
"D","06/25/2021","01",412080,75042,82,97,"AVAILABLE",5,,0.15,10,0
"D","06/25/2021","01",412080,82179,82,97,"AVAILABLE",5,,0.25,10,0
"D","06/25/2021","01",474440,80370,-5,5,"AVAILABLE",10,,0,0,0
"D","06/25/2021","01",474440,85953,-1,1,"UNAVAILABLE",10,,0,0,0
"D","06/25/2021","01",504170,11009,500,714,"AVAILABLE",15,,1,5,0
"D","06/25/2021","01",504170,60658,150,550,"UNAVAILABLE",4,,10,97.69,0
"D","06/25/2021","01",504170,72020,500,714,"AVAILABLE",15,,1,5,0
"D","06/25/2021","01",529988,29235,150,380,"UNAVAILABLE",2.5,,0,99,0
"D","06/25/2021","01",529988,54481,120,200,"UNAVAILABLE",1.5,,0,99,0
"D","06/25/2021","01",529988,54965,50,90,"UNAVAILABLE",1,,0,99,0
"D","06/25/2021","01",529988,96924,45,75,"UNAVAILABLE",1.5,,0,99,0
"D","06/25/2021","01",530232,62643,-20,20,"AVAILABLE",450,,0,0,0
"D","06/25/2021","01",547596,55289,45,65,"UNAVAILABLE",3.5,,10,90,10
"D","06/25/2021","01",582462,53298,130,292,"AVAILABLE",30,,10,49.95,49.95
"D","06/25/2021","01",582462,60188,130,292,"AVAILABLE",30,,0.1,5,5
"D","06/25/2021","01",582462,66602,130,292,"AVAILABLE",30,,10,49.95,49.95
"D","06/25/2021","01",582462,83099,130,292,"AVAILABLE",30,,10,49.95,49.95
"D","06/25/2021","01",591975,12297,145,252,"AVAILABLE",8,,0.05,6.25,0.05
"D","06/25/2021","01",591975,20846,190,249,"AVAILABLE",4,,0.01,9,0.01
"D","06/25/2021","01",591975,24780,145,248,"AVAILABLE",8,,0.05,6.75,0.05
"D","06/25/2021","01",591975,29587,150,234,"AVAILABLE",8,,0.25,8,0.25
"D","06/25/2021","01",591975,36992,145,251,"AVAILABLE",10,,0.01,6.25,0.01
"D","06/25/2021","01",591975,55408,145,251,"AVAILABLE",10,,0.01,6,0.01
"D","06/25/2021","01",591975,56483,196,246,"AVAILABLE",5,,0.05,6,0.05
"D","06/25/2021","01",591975,64475,193,243,"AVAILABLE",8,,0.05,6,0.05
"D","06/25/2021","01",591975,67172,150,230,"AVAILABLE",8,,0.05,8,0.25
"D","06/25/2021","01",591975,79527,150,236,"AVAILABLE",8,,0.01,5.75,0.25
"D","06/25/2021","01",591975,88727,145,250,"AVAILABLE",8,,0.05,6.5,0.05
"D","06/25/2021","01",591975,93164,150,240,"AVAILABLE",8,,0.01,6.25,0.25
"D","06/25/2021","01",595644,34578,479,579,"AVAILABLE",10,,0.09,99,0
"D","06/25/2021","01",698953,16639,7,33,"UNAVAILABLE",15,,0,0,0
"D","06/25/2021","01",698953,17045,14,25,"UNAVAILABLE",11,,0,0,0
"D","06/25/2021","01",698953,37939,5,26,"UNAVAILABLE",14.7,,0,0,0
"D","06/25/2021","01",698953,52447,5,29,"UNAVAILABLE",11,,0,0,0
"D","06/25/2021","01",698953,59695,5,16,"UNAVAILABLE",7.5,,0,0,0
"D","06/25/2021","01",698953,66465,5,32,"UNAVAILABLE",15,,0,0,0
"D","06/25/2021","01",711583,10002,-1,1,"UNAVAILABLE",2,,0,0,0
"D","06/25/2021","01",711583,10004,-1,1,"AVAILABLE",10,,0,0,0
"D","06/25/2021","01",711583,56432,-2,2,"UNAVAILABLE",2,,0,0,0
"D","06/25/2021","01",711583,80060,-1,1,"UNAVAILABLE",10,,0,0,0
"D","06/25/2021","01",711583,80285,-2,2,"UNAVAILABLE",2,,0,0,0
"D","06/25/2021","01",711583,86326,-2,2,"UNAVAILABLE",2,,0,0,0
"D","06/25/2021","01",732232,67022,-1.9,1.9,"AVAILABLE",100,,0,0,0
"D","06/25/2021","01",739738,19882,300,476.3,"AVAILABLE",8,,0,1,0
"D","06/25/2021","01",739738,58855,100,150,"UNAVAILABLE",5,,0,5,0
"D","06/25/2021","01",741580,68125,0,0,"UNAVAILABLE",1,,0.1,0,0
"D","06/25/2021","01",784897,33477,-2.5,2.5,"UNAVAILABLE",1,,0,0,0
"D","06/25/2021","01",784897,46049,-1.5,0.5,"UNAVAILABLE",75,,0,0,0
"D","06/25/2021","01",784897,90321,-1.5,1.5,"UNAVAILABLE",999,,0,0,0
"D","06/25/2021","01",831346,91249,0,0,"AVAILABLE",1,,0.1,0,8.94
"D","06/25/2021","01",872788,21292,199,249,"AVAILABLE",10,,0.5,15,0
"D","06/25/2021","01",872788,37274,110,170,"AVAILABLE",5,,0.3,6,0
"D","06/25/2021","01",872788,72183,110,170,"AVAILABLE",5,,0.6,8,0
"D","06/25/2021","01",872788,76235,196,246,"AVAILABLE",10,,0.5,15,0
"D","06/25/2021","01",872788,92137,110,165,"AVAILABLE",5,,0.5,7,0
"D","06/25/2021","01",878461,54465,145,305,"AVAILABLE",12,,0.3,10,0.3
"D","06/25/2021","01",878461,83798,145,305,"AVAILABLE",12,,0.3,10,0.3
"D","06/25/2021","01",883543,11031,35,45,"UNAVAILABLE",10,,0,0,0
"D","06/25/2021","01",883543,19426,35,45,"UNAVAILABLE",10,,0,0,0
"D","06/25/2021","01",883543,84614,35,45,"UNAVAILABLE",10,,0,0,0
"D","06/25/2021","01",883543,84917,35,45,"UNAVAILABLE",10,,0,0,0
"D","06/25/2021","01",883543,86772,35,45,"UNAVAILABLE",10,,0,0,0
"D","06/25/2021","01",902793,17063,274,294,"AVAILABLE",3.5,,10,10,0
"D","06/25/2021","01",902793,48591,150,389,"AVAILABLE",3,,0,60,0
"D","06/25/2021","01",902793,63229,100,146,"AVAILABLE",3.5,,0.25,6,0.25
"D","06/25/2021","01",902793,79819,113,163,"AVAILABLE",4,,0.25,9,0.25
"D","06/25/2021","01",931075,64814,118,146,"AVAILABLE",3,,0,15,0
"D","06/25/2021","01",931987,42841,220,295,"AVAILABLE",25,,0,0,0
